,상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,시도명,시군구명,행정동명,법정동명,도로명주소,경도,위도,브랜드명
346167,파리바게뜨광진,음식,기타 간이,빵/도넛,서울특별시,광진구,구의1동,구의동,서울특별시 광진구 자양로 124,127.083525054102,37.5387553631958,파리바게트
2110,비알배스킨라빈스한남HIVE,음식,기타 간이,아이스크림/빙수,서울특별시,용산구,한남동,한남동,서울특별시 용산구 독서당로 93,127.010578694056,37.5350040176971,
5209,비알배스킨라빈스동부이촌점,음식,기타 간이,아이스크림/빙수,서울특별시,용산구,이촌1동,이촌동,서울특별시 용산구 이촌로 260,126.976135156198,37.5185366105608,
9630,배스킨라빈스상계역점,음식,기타 간이,아이스크림/빙수,서울특별시,노원구,중계4동,중계동,서울특별시 노원구 한글비석로 384,127.073221344673,37.6598021754275,
10223,배스킨라빈스길동역점,음식,기타 간이,아이스크림/빙수,서울특별시,강동구,길동,길동,서울특별시 강동구 양재대로 1471,127.139247347881,37.5373545388776,
10559,비알배스킨라빈스서울대병원,음식,기타 간이,아이스크림/빙수,서울특별시,종로구,이화동,연건동,서울특별시 종로구 대학로 101,126.997184076959,37.5804478224547,
11208,베스킨라빈스화곡,음식,기타 간이,아이스크림/빙수,서울특별시,강서구,화곡1동,화곡동,서울특별시 강서구 가로공원로76길 73,126.838530849393,37.5339867967981,
12869,배스킨라빈스여의KBS별관점,음식,기타 간이,아이스크림/빙수,서울특별시,영등포구,여의동,여의도동,서울특별시 영등포구 여의대방로 383,126.931485478426,37.5193304843403,
14374,배스킨라빈스용마산역점,음식,기타 간이,아이스크림/빙수,서울특별시,중랑구,면목4동,면목동,서울특별시 중랑구 면목로 243,127.085008385173,37.574772834693,
15378,배스킨라빈스응암,음식,기타 간이,아이스크림/빙수,서울특별시,은평구,응암1동,응암동,서울특별시 은평구 응암로 328,126.922619694825,37.600073078424,
15764,베스킨라빈스한성대역점,음식,기타 간이,아이스크림/빙수,서울특별시,성북구,성북동,동소문동1가,서울특별시 성북구 동소문로 3,127.006480849458,37.5888430432856,
19537,배스킨라빈스신창,음식,기타 간이,아이스크림/빙수,서울특별시,도봉구,창3동,창동,서울특별시 도봉구 덕릉로 220,127.037375765389,37.6376019624711,
20653,베스킨라빈스신길래미안점,음식,기타 간이,아이스크림/빙수,서울특별시,영등포구,신길3동,신길동,서울특별시 영등포구 가마산로 442,126.909655954429,37.5051017116005,
